Region,Country
,
RBA,Guinea
RBA,Guinea-Bissau
RBA,Mauritania
RBA,Mozambique 
RBA,Nigeria
RBA,Senegal
RBA,Cameroon
RBA,Mauritius (& Seychelles)
RBA,Angola
RBA,Benin
RBA,Burkina Faso
RBA,Cape Verde
RBA,Chad
RBA,Congo
RBA,Democratic Republic Congo
RBA,Cote d'Ivoire
RBA,Eswatini
RBA,Ethiopia
RBA,Ghana
RBA,Kenya
RBA,Lesotho
RBA,Malawi
RBA,Mali
RBA,Namibia
RBA,Niger
RBA,Rwanda
RBA,Sierra Leone
RBA,South Africa
RBA,South Sudan
RBA,Tanzania
RBA,The Gambia
RBA,Togo
RBA,Uganda
RBA,Zambia
RBA,Zimbabwe
RBAP,Bhutan
RBAP,Indonesia
RBAP,Maldives
RBAP,Mongolia
RBAP,Myanmar
RBAP,Thailand
RBAP,"Samoa (& Cook Islands, Niue, Tokelau)"
RBAP,Bangladesh
RBAP,Cambodia
RBAP,India
RBAP,Lao PDR
RBAP,Malaysia
RBAP,Nepal
RBAP,Pacific-Fiji
RBAP,Pakistan
RBAP,Philippines
RBAP,Timor Leste
RBAP,Vietnam
RBAS,Egypt
RBAS,Syria
RBAS,Saudi Arabia (self starter)
RBAS,Somalia
RBAS,Algeria
RBAS,Iraq
RBAS,Jordan
RBAS,Lebanon
RBAS,Libya
RBAS,Morocco
RBAS,Palestine
RBAS,Sudan
RBAS,Tunisia
RBEC,"Belarus, Republic of"
RBEC,"Georgia, Republic of"
RBEC,Kazakhstan
RBEC,Kyrgyzstan
RBEC,North Macedonia
RBEC,Azerbaijan
RBEC,Bosnia & Herzegovina
RBEC,Serbia
RBEC,Turkey
RBEC,Ukraine
RBEC,Uzbekistan
RBLAC,Bolivia
RBLAC,El Salvador
RBLAC,Guatemala 
RBLAC,Haiti
RBLAC,Trinidad & Tobago (Guyana & Suriname)
RBLAC,Peru
RBLAC,Panama
RBLAC,Uruguay (self starter)
RBLAC,Argentina
RBLAC,Barbados
RBLAC,Colombia
RBLAC,Dominican Republic
RBLAC,Ecuador
RBLAC,Mexico
RBLAC,Paraguay
